ID,DATE,TRANSACTION,STATUS,USERNAME,PAN
24,07/23/2018 11:53:28,EmptyScopeResults,FAILED,admin,NA
23,07/23/2018 11:53:28,EmptyScopeResults,FAILED,admin,NA
22,07/23/2018 11:52:52,SET DEFAULT PRINTER,SUCCESS,admin,NA
21,07/23/2018 11:52:32,SET DEFAULT PRINTER,SUCCESS,admin,NA
20,07/23/2018 11:52:31,SET DEFAULT PRINTER,SUCCESS,admin,NA
19,07/23/2018 11:52:14,LOGGED IN,SUCCESS,admin,NA
18,07/23/2018 11:52:14,EmptyScopeResults,FAILED,admin,NA
17,07/23/2018 11:52:14,EmptyScopeResults,FAILED,admin,NA
16,07/23/2018 11:52:07,LOGGED IN: Invalid Password,FAILED,admin,NA
15,07/23/2018 11:52:07,EmptyScopeResults,FAILED,admin,NA
14,07/23/2018 11:52:07,EmptyScopeResults,FAILED,admin,NA
13,07/23/2018 11:52:01,EmptyScopeResults,FAILED,admin,NA
12,07/23/2018 11:52:00,EmptyScopeResults,FAILED,admin,NA
11,07/23/2018 11:51:38,EmptyScopeResults,FAILED,admin,NA
10,07/23/2018 11:51:38,EmptyScopeResults,FAILED,admin,NA
9,07/23/2018 11:47:47,EmptyScopeResults,FAILED,admin,NA
7,07/23/2018 11:46:30,EmptyScopeResults,FAILED,admin,NA
5,07/23/2018 11:44:53,EmptyScopeResults,FAILED,admin,NA
3,07/23/2018 11:44:18,EmptyScopeResults,FAILED,admin,NA
1,07/23/2018 11:43:57,EmptyScopeResults,FAILED,admin,NA
